name,age,gender,urban_rural,born_in_state
"ROBERTS, Charles Patrick (Pat)",78,Male,Rural,Yes
"KAINE, Timothy Michael (Tim)",56,Male,Urban,No
"CRUZ, Rafael Edward (Ted)",44,Male,Urban,No
"HEITKAMP, Mary Kathryn (Heidi)",59,Female,Rural,No
"FISCHER, Debra (Deb)",63,Female,Rural,Yes
"WARREN, Elizabeth",65,Female,Urban,No
"KING, Angus Stanley, Jr.",70,Male,Rural,No
"NELSON, Clarence William (Bill)",72,Male,Urban,Yes
"COTTON, Tom",37,Male,Rural,Yes
"COATS, Daniel Ray",71,Male,Rural,No
"BARRASSO, John A.",62,Male,Rural,No
"CORKER, Robert (Bob)",62,Male,Rural,No
"WHITEHOUSE, Sheldon",59,Male,Urban,No
"GILLIBRAND, Kirsten",48,Female,Urban,Yes
"TESTER, Jon",58,Male,Rural,Yes
"McCASKILL, Claire",61,Female,Rural,Yes
"KLOBUCHAR, Amy",54,Female,Rural,Yes
"HELLER, Dean",54,Male,Urban,No
"BALDWIN, Tammy",52,Female,Rural,Yes
"TOOMEY, Patrick Joseph",53,Male,Urban,No
"DONNELLY, Joe",59,Male,Rural,No
"COLLINS, Susan Margaret",62,Female,Rural,Yes
"DAINES, Steve",52,Male,Rural,No
"WICKER, Roger F.",63,Male,Rural,Yes
"MURKOWSKI, Lisa",57,Female,Rural,Yes
"ALEXANDER, Lamar",74,Male,Rural,Yes
"CASEY, Robert (Bob), Jr.",54,Male,Urban,Yes
"CARPER, Thomas Richard",67,Male,Urban,No
"LEAHY, Patrick Joseph",74,Male,Rural,Yes
"SANDERS, Bernard",73,Male,Rural,No
"REED, John F. (Jack)",65,Male,Urban,Yes
"COONS, Christopher A.",51,Male,Urban,No
"MANCHIN, Joe, III",67,Male,Rural,Yes
"BENNET, Michael F.",50,Male,Urban,No
"WARNER, Mark",60,Male,Urban,No
"MERKLEY, Jeff",58,Male,Urban,Yes
"HIRONO, Mazie",67,Female,Urban,No
"SHAHEEN, Jeanne",67,Female,Rural,No
"RISCH, James",71,Male,Rural,No
"SHELBY, Richard C.",80,Male,Rural,Yes
"HEINRICH, Martin",43,Male,Urban,No
"PETERS, Gary C.",56,Male,Urban,Yes
"CASSIDY, Bill",57,Male,Rural,No
"GRASSLEY, Charles Ernest",81,Male,Rural,Yes
"CANTWELL, Maria E.",56,Female,Urban,No
"GRAHAM, Lindsey O.",59,Male,Rural,Yes
"KIRK, Mark Steven",55,Male,Urban,Yes
"CORNYN, John",62,Male,Urban,Yes
"FRANKEN, Al",63,Male,Rural,No
"UDALL, Thomas (Tom)",66,Male,Urban,No
"BOOKER, Cory Anthony",45,Male,Urban,No
"VITTER, David",53,Male,Rural,Yes
"BURR, Richard M.",59,Male,Rural,No
"BOOZMAN, John",64,Male,Rural,No
"FLAKE, Jeff",52,Male,Urban,Yes
"GARDNER, Cory",40,Male,Urban,Yes
"MIKULSKI, Barbara Ann",78,Female,Urban,Yes
"MARKEY, Edward John",68,Male,Urban,Yes
"McCONNELL, Addison Mitchell (Mitch)",72,Male,Rural,No
"INHOFE, James Mountain",80,Male,Rural,No
"THUNE, John",53,Male,Rural,Yes
"ENZI, Michael B.",70,Male,Rural,No
"BLUMENTHAL, Richard",68,Male,Urban,No
"BLUNT, Roy",64,Male,Rural,Yes
"ROUNDS, Marion Michael (Mike)",60,Male,Rural,Yes
"TILLIS, Thomas Roland (Thom)",54,Male,Rural,No
"SASSE, Benjamin Eric",42,Male,Rural,Yes
"ERNST, Joni",44,Female,Rural,Yes
"PERDUE, David Alfred, Jr.",65,Male,Urban,Yes
"SULLIVAN, Daniel Scott",50,Male,Rural,No
"MORAN, Jerry",60,Male,Rural,Yes
"WYDEN, Ronald Lee",65,Male,Urban,No
"SCHUMER, Charles Ellis (Chuck)",64,Male,Urban,Yes
"MURPHY, Christopher",41,Male,Urban,No
"SESSIONS, Jefferson Beauregard III (Jeff)",68,Male,Rural,Yes
"RUBIO, Marco",43,Male,Urban,Yes
"CARDIN, Benjamin Louis",71,Male,Urban,Yes
"STABENOW, Deborah Ann",64,Female,Urban,Yes
"PAUL, Rand",51,Male,Rural,No
"ISAKSON, Johnny",70,Male,Urban,Yes
"REID, Harry",75,Male,Urban,Yes
"BROWN, Sherrod",62,Male,Urban,Yes
"PORTMAN, Robert Jones (Rob)",59,Male,Urban,Yes
"McCAIN, John Sidney, III",78,Male,Urban,No
"MENENDEZ, Robert",61,Male,Urban,No
"SCOTT, Tim",49,Male,Rural,Yes
"CAPITO, Shelley Moore",61,Female,Rural,Yes
"LANKFORD, James",46,Male,Rural,No
"DURBIN, Richard Joseph",70,Male,Urban,Yes
"COCHRAN, William Thad",77,Male,Rural,Yes
"AYOTTE, Kelly",46,Female,Rural,Yes
"BOXER, Barbara",74,Female,Urban,No
"CRAPO, Michael Dean",63,Male,Rural,Yes
"MURRAY, Patty",64,Female,Urban,Yes
"SCHATZ, Brian Emanuel",42,Male,Urban,No
"JOHNSON, Ron",59,Male,Rural,No
"LEE, Mike",43,Male,Urban,No
"FEINSTEIN, Dianne",81,Female,Urban,Yes
"HOEVEN, John",57,Male,Rural,Yes
"HATCH, Orrin Grant",80,Male,Urban,No
